time,treatment,sampler,replicatenumber,sampleid,mass,length,PCB1,PCB2,PCB3,PCB4,PCB5,PCB6,PCB7,PCB8,PCB9,PCB10,PCB11,PCB12+13,PCB14,PCB15,PCB16,PCB17,PCB18+30,PCB19,PCB20+28,PCB21+33,PCB22,PCB23,PCB24,PCB25,PCB26+29,PCB27,PCB31,PCB32,PCB34,PCB35,PCB36,PCB37,PCB38,PCB39,PCB40+71,PCB41,PCB42,PCB43,PCB44+47+65,PCB45,PCB46,PCB48,PCB49+69,PCB50+53,PCB51,PCB52,PCB54,PCB55,PCB56,PCB57,PCB58,PCB59+62+75,PCB60,PCB61+70+74+76,PCB63,PCB64,PCB66,PCB67,PCB68,PCB72,PCB73,PCB77,PCB78,PCB79,PCB80,PCB81,PCB82,PCB83,PCB84,PCB85+116,PCB86+97+109+119,PCB87+125,PCB88,PCB89,PCB90+101+113,PCB91,PCB92,PCB93+100,PCB94,PCB95,PCB96,PCB98,PCB99,PCB102,PCB103,PCB104,PCB105,PCB106,PCB107,PCB108+124,PCB110,PCB111,PCB112,PCB114,PCB115,PCB117,PCB118,PCB120,PCB121,PCB122,PCB123,PCB126,PCB127,PCB128+166,PCB129+138+163,PCB130,PCB131,PCB132,PCB133,PCB134,PCB135+151,PCB136,PCB137,PCB139+140,PCB141,PCB142,PCB143,PCB144,PCB145,PCB146,PCB147+149,PCB148,PCB150,PCB152,PCB153+168,PCB154,PCB155,PCB156+157,PCB158,PCB159,PCB160,PCB161,PCB162,PCB164,PCB165,PCB167,PCB169,PCB170,PCB171+173,PCB172,PCB174,PCB175,PCB176,PCB177,PCB178,PCB179,PCB180+193,PCB181,PCB182,PCB183,PCB184,PCB185,PCB186,PCB187,PCB188,PCB189,PCB190,PCB191,PCB192,PCB194,PCB195,PCB196,PCB197,PCB198+199,PCB200,PCB201,PCB202,PCB203,PCB205,PCB206,PCB207,PCB208,PCB209
1,Ctrl,SPME,S1,1_Ctrl_SPME_S1,NA,24.6,0.157957091,0.005232212,0.017089053,6.870705134,0.004807989,0.525592379,0.046071877,1.691228745,0.016785027,0.630658108,0.096351345,0.086629141,0.003937644,0.248353504,0.372287752,3.122166545,1.128262902,3.299221988,2.711623955,0.309081869,0.460849716,0.007007806,0.0060362,0.799386486,0.991054322,1.343778431,1.941207961,1.867652659,0.085786532,0.028994865,0.0076336,0.171238484,0.006288374,0.024708462,1.491207718,0.14118844,0.71225188,0.288107711,3.245277898,0.31904739,0.241241549,0.466493224,1.866948696,0.980557628,0.578404995,2.738780909,0.085232715,0.024800882,0.530699297,0.053208,0.026483843,0.288167117,0.162259772,2.533649998,0.210028385,0.832634607,1.463135473,0.064369749,0.072913453,0.060324538,0.027729921,0.100257061,0.007613556,0.022912893,0.008199893,0,0.139300057,0.164802941,0.358963546,0.150576793,0.370583328,0.24443067,0.078136778,0.044695131,0.833131067,0.232336645,0.307941535,0.054703371,0.050864464,0.998700126,0.037105655,0.014202182,0.488034851,0.094226602,0.030690532,0.010160509,0.195004054,0.009526845,0.07566587,0.040440261,0.831009149,0.009292819,0.012885175,0.032913406,0.046721795,0.067064603,0.479008142,0.008580098,0.004011257,0.020089165,0.019463642,0.009406431,0.008900801,0.053293026,0.214181662,0.034650534,0.017423624,0.093352047,0.020148357,0.040202408,0.127098828,0.067506713,0.036132638,0.032306823,0.045942498,0.013903034,0.011332112,0.035578681,0.009599463,0.044123351,0.223018675,0.016539306,0.012201299,0.011413945,0.15199166,0.017006609,0.01059293,0.03230571,0.034217471,0.01467838,0.011404304,0.011673272,0.019157419,0.023622995,0.009800999,0.028914866,0,0.04673792,0.084109103,0.027007283,0.05166969,0.017665314,0.021410363,0.033732844,0.028015033,0.028221353,0.046240466,0.154480363,0.236489849,0.035977287,0.286946166,0.023903798,0.043979692,0.046300117,0.183037834,0.011393967,0.037095101,0.010473888,0.022399621,0.032030986,0.020956261,0.011637908,0,0.027610859,0,0.015976695,0.020945435,0.010382354,0,0.025727335,0.023703485,0.019629132,0.206818829
1,Ctrl,SPME,S2,1_Ctrl_SPME_S2,NA,28.3,0.066269889,0.003595063,0.010728139,1.999633952,0.002221371,0.148424136,0.014146718,0.485624394,0.005939063,0.184827303,0.07628575,0.038963566,0.001962883,0.109880013,0.165468282,1.125339108,0.43233966,1.243026896,1.125899566,0.127014509,0.205333768,0.002503114,0.00217794,0.317181594,0.405298032,0.551489874,0.787341889,0.777376805,0.032398582,0.016638094,0.002929999,0.085240637,0.004143259,0.012061896,0.806519345,0.065330708,0.37227707,0.134395243,1.569129382,0.162211561,0.117518772,0.195183946,0.890318893,0.492289905,0.255698556,1.453226064,0.034467941,0.014651753,0.303016238,0.032546489,0.017397126,0.150265938,0.0894822,1.361499379,0.110362287,0.433213666,0.78769239,0.038356134,0.048108713,0.036260382,0.009992127,0.062545678,0.007576349,0.01213243,0,0,0.094282309,0.111441132,0.2146378,0.096401753,0.214379956,0.16521658,0.052628438,0.026485739,0.561865203,0.130878604,0.180800401,0.033875857,0.029520954,0.662329489,0.020383137,0.010576981,0.289871876,0.060887086,0.023517284,0.004219618,0.116754302,0.008803123,0.039566837,0.024818095,0.534212464,0.003716707,0.008637928,0.024559523,0.026074481,0.046746887,0.30031864,0.005804646,0.00526089,0.014152036,0.014161462,0.006208469,0.002893854,0.038361551,0.162347525,0.025152683,0.016034311,0.079892809,0.021191591,0.027258254,0.097391318,0.054570716,0.028992569,0.025489834,0.031121054,0.018816906,0.013067268,0.02313584,0.011566857,0.030689948,0.186916259,0.013432006,0.008739611,0.00806292,0.112980556,0.014977509,0.007069255,0.021988452,0.027577836,0.007066208,0.008808078,0.012801448,0.007102677,0.018895033,0.009133171,0.022641237,0,0.017606635,0.069411203,0.027014103,0.050142004,0.014360972,0.013830108,0.02368126,0.023584762,0.017244921,0.034407082,0.139951018,0.237893599,0.032100824,0.273024749,0.023319039,0.039527902,0.033575292,0.184536467,0.016189477,0.016009309,0.012414337,0.013370106,0.019644978,0.017155863,0.009214643,0.000257879,0.015228324,0.013109732,0.010580753,0.010397882,0.012647674,0,0.027699225,0.025808046,0.006536992,0.202152354
1,Ctrl,SPME,S3,1_Ctrl_SPME_S3,NA,24.7,0.185667591,0.008182485,0.024458255,7.588311173,0.005593342,0.682569277,0.054506571,2.14664362,0.022196016,0.654294731,0.120670238,0.112554546,0.002633334,0.28534463,0.486093528,3.85014362,1.47724088,4.06320544,3.256169711,0.464939731,0.597775051,0.006717801,0.006557924,0.907085048,1.134110816,1.529395016,2.441634447,2.29823698,0.086975353,0.025421231,0.004841496,0.193688161,0.00883176,0.027907208,1.55411078,0.112379074,0.753990183,0.292551358,3.238441082,0.435156161,0.311573626,0.518920897,1.900579901,1.137932676,0.599099427,3.115255879,0.096489231,0.022807254,0.57062729,0.054876655,0.021973586,0.271428251,0.180345281,2.535296695,0.185555723,0.858459624,1.515217092,0.065092992,0.059620703,0.051341473,0.02128297,0.097562346,0.005457187,0.013521148,0,0,0.127724842,0.187208018,0.356070994,0.138214312,0.331212304,0.234334302,0.085594129,0.041427624,0.792024134,0.171802539,0.255849877,0.043141277,0.046054442,1.003725344,0.041579342,0.009576591,0.397911577,0.088935692,0.028534155,0.006833954,0.205526655,0.004377025,0.060228608,0.026198858,0.838699361,0.006266187,0.008846114,0.032819206,0.032742017,0.060597406,0.463484467,0.007441207,0.004238259,0.013928453,0.014367102,0.006829832,0.015824315,0.042811886,0.214194012,0.032587038,0.019125775,0.093903095,0.02188715,0.037071581,0.111815765,0.06532216,0.028400442,0.022862168,0.043888307,0.014076371,0.011249336,0.029798762,0.006643052,0.041690316,0.232236566,0.013565138,0.009612837,0.009687166,0.151184605,0.019042909,0.012204704,0.03092833,0.033526801,0.002663426,0.007606125,0.011361294,0.005834118,0.021937015,0.007934335,0.028085424,0,0.039866079,0.082553184,0.017073208,0.048587895,0.009568094,0.010310011,0.034423126,0.030587683,0.023020944,0.053904162,0.195009589,0.325513159,0.039095744,0.38584592,0.024036951,0.053877689,0.04781431,0.237491161,0.009286184,0.017712969,0.017184861,0.009147252,0.024537138,0.014610933,0.011974648,0,0.019080131,0.011661533,0.008241981,0.012066618,0.016957302,0.01622487,0.029722588,0.030852722,0.008315837,0.197925194
2,Ctrl,SPME,S1,2_Ctrl_SPME_S1,NA,31.35,0.007413524,0.002303791,0.010611039,2.060108243,0.002172712,0.0200297,0.004554982,0.066603614,0.003886575,0.229189012,0.070925991,0.042755434,0.002715936,0.173066082,0.250684852,1.463798219,0.44415569,2.16564068,1.861525424,0.081009209,0.196538425,0.00239506,0.003169369,0.473552388,0.658757412,0.971257487,0.832663044,1.344070952,0.041447564,0.021837782,0.003290383,0.134567646,0.008302684,0.018238248,1.503958742,0.136733561,0.704469184,0.259036391,2.954508252,0.300260032,0.219843731,0.297550889,1.652932941,0.832812102,0.439029773,2.571287328,0.061199174,0.021802422,0.613884791,0.056781128,0.020078927,0.260122118,0.163242125,2.383287241,0.210951681,0.782177802,1.651122105,0.066223789,0.074067877,0.057164296,0.024771798,0.111216746,0,0.018149022,0.005237108,0,0.187918365,0.103863878,0.420273303,0.191595216,0.458989693,0.327075549,0.163360605,0.052689288,1.039882126,0.192980039,0.374845312,0.065747181,0.055659003,1.152097646,0.037892824,0.011303189,0.673990759,0.123870966,0.040761138,0.007428937,0.310074911,0.003356554,0.096269557,0.038480524,1.200701372,0.006142391,0.010047118,0.030369207,0.024527781,0.107784801,0.708244713,0.009416333,0.003391451,0.015280168,0.023685644,0.00926052,0,0.056182661,0.313572921,0.037744908,0.023323183,0.140040662,0.020840231,0.055817307,0.177465555,0.07982893,0.036921694,0.039747102,0.06429467,0.015530085,0.006801097,0.042881972,0.007536901,0.063482899,0.31936113,0.012583527,0.008854305,0.01076869,0.206872357,0.021697001,0.004966085,0.039694372,0.043999233,0.003973079,0.003745831,0.009817358,0.008876781,0.025107658,0.005736493,0.027010349,0.007644124,0.022117256,0.03999302,0.022566398,0.042617388,0.005964554,0.013443567,0.045328302,0.019585435,0.029645568,0.048647901,0.0889441,0.120303841,0.029173259,0.14214319,0.018417174,0.021670312,0.05112352,0.094526772,0,0.017584025,0,0.006498211,0.009264356,0.015831998,0.013892647,0.022059132,0.029605409,0.018747393,0.012658498,0.011026112,0.020490304,0.014820816,0.019320268,0.027707734,0.013206952,0.189170184
2,Ctrl,SPME,S2,2_Ctrl_SPME_S2,NA,31.4,0.095226918,0.003807631,0.009967941,2.970514023,0.003516406,0.06396451,0.009861125,0.191729866,0.004795123,0.301635797,0.080362704,0.047063992,0.002149152,0.182466236,0.273157892,1.720715902,0.507349842,2.317200291,2.034792788,0.098433244,0.23066447,0.002892733,0.003765185,0.539132406,0.730582718,1.056361427,0.926913441,1.476462547,0.043583953,0.024785737,0.003525409,0.152609395,0.007998454,0.022100704,1.618736699,0.125501318,0.800501101,0.299787171,3.16326758,0.350407709,0.246829259,0.342616432,1.798640839,0.884036904,0.447680963,2.815177376,0.065320988,0.016125132,0.660017896,0.059717578,0.02973165,0.298787891,0.154822651,2.650658572,0.209015804,0.859691875,1.736374681,0.069608879,0.082091391,0.064519542,0.020335687,0.146847329,0.005434053,0.020093552,0,0,0.201716597,0.128547614,0.471276082,0.221641002,0.5084806,0.336954988,0.204499014,0.055948131,1.130276135,0.191423717,0.400413694,0.056361461,0.062865214,1.272107543,0.046404501,0.011106628,0.717509129,0.128751192,0.036770015,0.006854076,0.306206953,0.004935326,0.105386533,0.035981773,1.300089574,0.004239273,0.008825328,0.047954166,0.022386658,0.102171857,0.765254258,0.011372969,0.002966189,0.02149495,0.025763321,0.007884353,0.004138318,0.061197493,0.339256285,0.042600243,0.01888661,0.149806248,0.026391426,0.062418091,0.186752809,0.087349407,0.047768027,0.036987062,0.056036204,0.009213878,0.002709514,0.040070424,0.008950175,0.059500562,0.349779405,0.015378831,0.012965941,0.008255861,0.219381677,0.026055485,0.008297915,0.033333337,0.041099931,0,0.005830226,0.012079037,0.011119448,0.024037406,0.00458496,0.039557582,0,0.013335641,0.064570685,0.020619672,0.042119569,0,0.015357687,0.05824404,0.018955832,0.032084629,0.049242524,0.238366735,0.37996391,0.028823802,0.449821436,0.019720767,0.05811751,0.048925762,0.292639164,0,0.012944694,0,0.006059401,0,0.020388336,0.012057379,0.03380685,0.038358113,0.021071516,0.007188717,0.013798911,0.018888025,0.009809081,0.023482834,0.029695653,0.014235147,0.191379853
2,Ctrl,SPME,S3,2_Ctrl_SPME_S3,NA,31.8,0.050261292,0.003113873,0.007245086,2.271372775,0.002152183,0.056941662,0.010089605,0.160906469,0.004446266,0.242970683,0.073873742,0.049266091,0.001546135,0.201090152,0.23810767,1.477181846,0.421444636,1.92084332,1.883750702,0.083375367,0.22960892,0.00107394,0.002620952,0.492992159,0.669543707,0.8781665,0.887384509,1.307560223,0.036539423,0.024364191,0.00418607,0.148189446,0.006527172,0.016506882,1.561057839,0.115967638,0.720055507,0.252475552,2.878815751,0.286460524,0.219307152,0.301743393,1.599365121,0.771323813,0.410397434,2.488625518,0.053846121,0.016401779,0.628577016,0.064813239,0.027051662,0.254286985,0.148435905,2.497908274,0.199588911,0.802888594,1.650014535,0.061536849,0.06913221,0.056975738,0.019170113,0.124308185,0.004854743,0.017819621,0,0.003311307,0.177254549,0.126928237,0.424636985,0.18729109,0.431591234,0.30392681,0.194116545,0.050540341,0.952947578,0.145952586,0.334728429,0.050118936,0.062548314,1.086837799,0.039113885,0.007028495,0.621316347,0.109105423,0.03397244,0.004353167,0.289148012,0.004149357,0.095792078,0.040985963,1.22676437,0.004598908,0.00921499,0.035958994,0.019939926,0.092694282,0.67016349,0.004699244,0.003217823,0.019125842,0.019691289,0.004734104,0.003962373,0.050168715,0.286518594,0.039591318,0.017569458,0.130521729,0.024459508,0.042273447,0.159762724,0.073046213,0.034960061,0.030549876,0.049222543,0.01119893,0.003245527,0.034721779,0.004925821,0.051850909,0.307196269,0.012017621,0.011315405,0.008034563,0.194181877,0.022278577,0.007655947,0.031209538,0.039553876,0.003309012,0.001674446,0.011537063,0.007707511,0.023851775,0.004938658,0.030541229,0.001771801,0.027341175,0.037457648,0.033222077,0.047914529,0.006824256,0.013440229,0.047954276,0.0174547,0.024607626,0.043253656,0.198052554,0.343499691,0.024372754,0.404745195,0.011702003,0.051001498,0.05417013,0.265860722,0,0.00529845,0,0.006694197,0.00753763,0.012329975,0.019151246,0.021730241,0.023331205,0.019426419,0.00408673,0.009370894,0.012885235,0.00471121,0.009528016,0.029160553,0.014786108,0.172532845
3,Ctrl,SPME,S1,3_Ctrl_SPME_S1,NA,31.6,0.003113074,0.000552608,0.002295876,0.569892575,0.00041409,0.008439349,0.001726982,0.020042625,0.001125467,0.033018603,0.015921454,0.026048397,0.00052383,0.104585759,0.190905143,1.045171885,0.2006128,2.18922089,1.385983548,0.017570251,0.05127933,0.000661546,0.002195727,0.304669053,0.475937322,0.994488424,0.185100513,1.338680117,0.01492877,0.017550285,0.001978939,0.098734895,0.006286122,0.01152173,1.704612062,0.077171388,0.762411024,0.24460214,3.161142005,0.304542017,0.242144192,0.186300563,1.728195902,0.914133621,0.49929178,2.687562901,0.065601288,0.017406606,0.637139507,0.054440769,0.035156374,0.264910249,0.070490801,1.591612478,0.136835239,0.791398832,1.669372107,0.060146898,0.069859775,0.055445846,0.021609344,0.114164131,0.007346711,0.011375641,0,0.002991654,0.231264894,0.251694687,0.453761306,0.222813616,0.503119098,0.316045594,0.185600746,0.048663137,1.016242138,0.172073523,0.379535923,0.056205643,0.059658488,1.083735491,0.036377425,0,0.634615547,0.130711077,0.031533851,0.004146686,0.328203861,0,0.114281093,0.036343699,1.366454067,0.00566113,0.009034985,0.035220828,0.005716313,0.107439642,0.802798611,0.008376469,0.003391726,0.025397959,0.024677024,0.00572377,0,0.065623244,0.421784152,0.039270914,0.017050903,0.159558371,0.028344777,0.052476479,0.176424621,0.063785206,0.048410969,0.032809203,0.059113443,0.006628906,0.007164112,0.030353907,0.005685911,0.061662733,0.339402067,0.009692371,0.010533791,0.007343582,0.244349082,0.021578695,0.006585668,0.041215749,0.050451204,0.004230719,0.003158504,0.011210173,0.005779338,0.025513976,0.005001008,0.028222459,0,0.040828457,0.065267254,0.015050478,0.082231617,0.007465119,0.015717645,0.055496791,0.024666574,0.037142137,0.094218187,0.229300596,0.412578399,0.045499144,0.483966422,0.018450548,0.061002103,0.096124507,0.321841074,0,0.014143394,0.005388817,0,0.023832467,0.024581407,0.023773551,0,0.059912243,0.039569656,0.010357118,0.019395587,0.036363026,0,0.018834759,0.021326284,0.019843537,0.178392196
3,Ctrl,SPME,S2,3_Ctrl_SPME_S2,NA,33.2,0.006566885,0.003910903,0.006256213,0.651208299,0.001311161,0.010331758,0.00411334,0.03439002,0.004391687,0.031421599,0.073504259,0.036789593,0.001412913,0.166090863,0.25363379,1.421038873,0.2794508,2.937699355,1.769549661,0.032470274,0.061526043,0.001550557,0,0.368241717,0.593830061,1.281977555,0.246123818,1.748593907,0.020920724,0.020542606,0.002871336,0.108579872,0.009512767,0.017222616,1.902508207,0.136203508,0.901051784,0.318593632,3.813388859,0.368160379,0.293848093,0.231345356,2.144590301,1.115131565,0.684341701,3.273380617,0.088479152,0.016439946,0.665151599,0.060135639,0.041664664,0.330790775,0.066625783,1.78785067,0.157715254,0.937442025,1.843583285,0.066753597,0.079898023,0.064978023,0.028089739,0.115450398,0.007434857,0.028325033,0.00071968,0.005345648,0.24119993,0.326277236,0.542425135,0.236279439,0.582862215,0.356027134,0.211577722,0.062587497,1.188394165,0.218814142,0.432203318,0.08429091,0.065619334,1.377772184,0.044646187,0.008770565,0.706616715,0.147162018,0.044346131,0.00697804,0.334388275,0.007288413,0.115045654,0.04061151,1.476598975,0.005738785,0.019244197,0.038849981,0.006235051,0.106662006,0.83560621,0.012967055,0.003406995,0.023754115,0.027526335,0.008371579,0,0.07823248,0.398585332,0.040720599,0.022448357,0.173982131,0.029955385,0.061505929,0.215665089,0.092010098,0.040869314,0.036078879,0.05775635,0.008969707,0.011908443,0.043878336,0.009698972,0.0705785,0.387699746,0.019639185,0.010527268,0.009332488,0.256377965,0.0269573,0.010465274,0.047396376,0.060584465,0.003192965,0.006484171,0.012386806,0.006012796,0.032059132,0.008131153,0.035386917,0,0.036066317,0.051026213,0,0.05355033,0.01109851,0.014506473,0.048360164,0.030395101,0.033771702,0.058167012,0.200598921,0.33818253,0.032765875,0.398445823,0.016284509,0.050936169,0.067454677,0.258693786,0,0.022789242,0.012622938,0,0.025499731,0.026690836,0.030239704,0.029582184,0.048797056,0.020399194,0.009169831,0.014885477,0.034731917,0.012790506,0.016459073,0.027748337,0.020873743,0.20164152
3,Ctrl,SPME,S3,3_Ctrl_SPME_S3,NA,28.25,0.011512921,0.003812187,0.008180542,0.62287841,0.001884425,0.014308021,0.00465873,0.045242459,0.003398068,0.040395457,0.06864265,0.025963559,0.002639864,0.110451992,0.180691613,0.924866002,0.209546866,1.882892082,1.276600254,0.033656655,0.060443959,0.001904164,0.00174619,0.291548653,0.448894294,0.841448773,0.243160824,1.157600526,0.015579052,0.016799724,0.002416522,0.087888119,0.005893708,0.012790375,1.450061948,0.095176036,0.65799348,0.227390561,2.859179583,0.316976836,0.210847973,0.163980862,1.564603034,0.799083371,0.410101511,2.473484334,0.059115901,0.012084059,0.53183936,0.05262489,0.029762494,0.237909389,0.07373022,1.517134979,0.13171833,0.738264856,1.395235012,0.049042971,0.066365751,0.0544514,0.018673438,0.113359827,0.002582332,0.025225823,0.001178406,0.010236897,0.213803645,0.192724935,0.436724116,0.189738341,0.449184891,0.331307588,0.152431346,0.051648478,1.005162011,0.198783212,0.366283578,0.053224437,0.048397438,1.138032294,0.03907729,0.008515684,0.589801316,0.120251135,0.032638935,0.004474463,0.286949913,0.004588286,0.093815731,0.036185856,1.301448751,0.004348886,0.014482096,0.035353436,0.008612062,0.109425793,0.721744449,0.00885751,0.00202859,0.019489286,0.02357629,0.007570945,0,0.062943715,0.35283541,0.039023453,0.018752677,0.145527895,0.03171417,0.047599427,0.178555027,0.081632584,0.044075191,0.033324607,0.047425665,0.007943779,0.00647483,0.03680886,0.008332015,0.060684863,0.333796654,0.012964674,0.010973591,0.009212725,0.224331432,0.021122641,0.008722697,0.036320119,0.047954524,0.003560233,0.005485053,0.013291326,0.007145291,0.022019184,0.007810524,0.034848488,0,0.031108078,0.0481413,0.011362558,0.045321973,0.011091039,0.016427497,0.019164429,0.028831238,0.032823855,0.053309498,0.18802624,0.354639766,0.032629907,0.416017263,0.012645484,0.0511695,0.055776086,0.26644298,0,0.014988304,0.006793178,0.003992568,0.019379825,0.023687264,0.018342624,0.046249704,0.032171347,0.047859166,0.008292398,0.014870978,0.014418461,0.013097499,0.026168234,0.030164988,0.029306255,0.19224115
1,LB400,SPME,S1,1_LB400_SPME_S1,NA,39.7,0.914969457,0.01942385,0.069904657,13.42726041,0.013243073,1.34943565,0.147959199,4.75899922,0.056863979,1.370635883,0.127887376,0.177008834,0.004711192,0.461523919,0.659208765,5.853635281,2.095900576,6.835164702,4.707198634,0.583803079,0.823094955,0.009773805,0,1.426152257,1.67123715,2.457052614,3.364976649,3.414884823,0.149006019,0.042661936,0.00368057,0.268714044,0.012358086,0.037276212,2.158510358,0.152342135,1.075604669,0.446569598,4.79454229,0.626820315,0.395220991,0.697770019,2.767719645,1.610884975,0.888218052,4.334030293,0.149099585,0.030389285,0.801835665,0.084904124,0.034239526,0.406536264,0.219947776,3.591114674,0.326301885,1.179061063,2.255616884,0.092303577,0.094053568,0.086607481,0,0.130762772,0.00426549,0.024318928,0,0.005289801,0.204204468,0.352578399,0.5023772,0.204953202,0.467905949,0.317047982,0.289842687,0.057685331,1.098013237,0.149954923,0.374454168,0.067610298,0.076633715,1.328466705,0.054939753,0.007859597,0.562682824,0.147609486,0.049562424,0.008465946,0.324512835,0.006129658,0.108827392,0.032468023,1.245674291,0.005510055,0.010817642,0.036472615,0.019874695,0.090481871,0.72062171,0.007439395,0.002398882,0.019139815,0.010553238,0.006376407,0,0.049866543,0.300958352,0.037784349,0.018455476,0.139179408,0.023048897,0.049946927,0.163856778,0.082252587,0.033637119,0.024160556,0.052662731,0.007218562,0.004115388,0.028721733,0.00476623,0.056629241,0.303883936,0.011873845,0.010769898,0.007800168,0.203307993,0.017811817,0.008494396,0.033554952,0.044344168,0.00360213,0.003646841,0.010291905,0.003406149,0.02563693,0.003793515,0.018670369,0,0.025189277,0,0.011255093,0.041824086,0,0.010496821,0.027333872,0.014212343,0.024268939,0.042517155,0.137628193,0.244596724,0.022974675,0.303005521,0.013513502,0.040725479,0.045076973,0.189418142,0.015352822,0,0,0,0.01964361,0.017154669,0,0,0,0,0.007673418,0.006970822,0,0.005227164,0,0.029786317,0.009099884,0.203646772
1,LB400,SPME,S2,1_LB400_SPME_S2,NA,37.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
